test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-04T00:00:00.000,Yates,9,4146,67,89027,14.06%,COUNTY
2022-10-03T00:00:00.000,Albany,43,73074,330,1375727,12.21%,COUNTY
2022-10-03T00:00:00.000,Allegany,3,10191,29,244836,9.09%,COUNTY
2022-10-03T00:00:00.000,Bronx,204,465642,2913,8625325,6.05%,COUNTY
2022-10-03T00:00:00.000,Broome,35,54382,328,1156317,10.42%,COUNTY
2022-10-03T00:00:00.000,Capital Region,177,264735,1287,5145692,13.93%,REGION
2022-10-03T00:00:00.000,Cattaraugus,6,18145,80,301497,8.00%,COUNTY
2022-10-03T00:00:00.000,Cayuga,16,19060,142,386064,14.29%,COUNTY
2022-10-03T00:00:00.000,Central New York,143,213729,1121,4316598,13.06%,REGION
2022-10-03T00:00:00.000,Chautauqua,25,27648,120,522226,17.43%,COUNTY
2022-10-03T00:00:00.000,Chemung,14,24831,127,469437,12.87%,COUNTY
2022-10-03T00:00:00.000,Chenango,5,11048,118,231782,7.32%,COUNTY
2022-10-03T00:00:00.000,Clinton,18,20780,103,398199,10.47%,COUNTY
2022-10-03T00:00:00.000,Columbia,5,12690,54,249488,8.51%,COUNTY
2022-10-03T00:00:00.000,Cortland,7,12524,74,301073,9.46%,COUNTY
2022-10-03T00:00:00.000,Delaware,4,9419,158,195549,2.70%,COUNTY
2022-10-03T00:00:00.000,Dutchess,35,77413,441,1453450,9.78%,COUNTY
2022-10-03T00:00:00.000,Erie,132,252610,1490,4155567,8.38%,COUNTY
2022-10-03T00:00:00.000,Essex,2,7072,36,161590,2.94%,COUNTY
2022-10-03T00:00:00.000,Finger Lakes,148,283645,1749,5494626,9.50%,REGION
2022-10-03T00:00:00.000,Franklin,9,11316,58,212801,17.07%,COUNTY
2022-10-03T00:00:00.000,Fulton,14,15409,74,224095,20.00%,COUNTY
2022-10-03T00:00:00.000,Genesee,4,15576,105,267789,3.92%,COUNTY
2022-10-03T00:00:00.000,Greene,1,10156,27,178440,3.85%,COUNTY
2022-10-03T00:00:00.000,Hamilton,0,1014,4,19855,0.00%,COUNTY
2022-10-03T00:00:00.000,Herkimer,14,16399,84,317688,13.56%,COUNTY
2022-10-03T00:00:00.000,Jefferson,36,24690,250,394846,11.18%,COUNTY
2022-10-03T00:00:00.000,Kings,328,834314,4947,18215039,6.51%,COUNTY
2022-10-03T00:00:00.000,Lewis,3,6923,30,102053,3.57%,COUNTY
2022-10-03T00:00:00.000,Livingston,8,13489,63,279912,14.29%,COUNTY
2022-10-03T00:00:00.000,Long Island,481,1015019,5501,16465119,7.49%,REGION
2022-10-03T00:00:00.000,Madison,11,15726,108,365213,6.25%,COUNTY
2022-10-03T00:00:00.000,Mid-Hudson,347,710469,4562,13079186,6.83%,REGION
2022-10-03T00:00:00.000,Mohawk Valley,104,128908,706,2681614,12.50%,REGION
2022-10-03T00:00:00.000,Monroe,86,179523,1171,3571670,8.64%,COUNTY
2022-10-03T00:00:00.000,Montgomery,15,14071,52,218908,22.22%,COUNTY
2022-10-03T00:00:00.000,Nassau,232,498935,2401,8186479,8.70%,COUNTY
2022-10-03T00:00:00.000,New York,253,534319,3807,14123706,6.53%,COUNTY
2022-10-03T00:00:00.000,New York City,1222,2815514,16784,58932073,7.03%,REGION
2022-10-03T00:00:00.000,Niagara,25,56155,293,889332,9.77%,COUNTY
2022-10-03T00:00:00.000,North Country,77,96634,582,1900491,9.15%,REGION
2022-10-03T00:00:00.000,Oneida,47,64571,384,1496611,8.29%,COUNTY
2022-10-03T00:00:00.000,Onondaga,75,134290,624,2745539,12.45%,COUNTY
2022-10-03T00:00:00.000,Ontario,24,24151,135,468473,19.05%,COUNTY
2022-10-03T00:00:00.000,Orange,74,127147,763,1899656,7.66%,COUNTY
2022-10-03T00:00:00.000,Orleans,7,9914,43,154924,16.67%,COUNTY
2022-10-03T00:00:00.000,Oswego,34,32129,173,518709,19.88%,COUNTY
2022-10-03T00:00:00.000,Otsego,11,12374,70,305726,16.92%,COUNTY
2022-10-03T00:00:00.000,Putnam,11,28805,149,477917,7.19%,COUNTY
2022-10-03T00:00:00.000,Queens,321,786086,4069,14361767,7.51%,COUNTY
2022-10-03T00:00:00.000,Rensselaer,34,38940,216,859667,16.35%,COUNTY
2022-10-03T00:00:00.000,Richmond,116,195153,1048,3606236,11.33%,COUNTY
2022-10-03T00:00:00.000,Rockland,53,109190,997,2305329,4.60%,COUNTY
2022-10-03T00:00:00.000,STATEWIDE,2991,6058584,35473,120024325,8.04%,STATEWIDE
2022-10-03T00:00:00.000,Saratoga,48,57332,302,1054007,13.36%,COUNTY
